State Name,State Fips,Year,Quarter,Month,MW,
Alabama,1,1986,2,4,3.35,
Alabama,1,1986,2,5,3.35,
Alabama,1,1986,2,6,3.35,
Alabama,1,1986,3,7,3.35,
Alabama,1,1986,3,8,3.35,
Alabama,1,1986,3,9,3.35,
Alabama,1,1986,4,10,3.35,
Alabama,1,1986,4,11,3.35,
Alabama,1,1986,4,12,3.35,
Alabama,1,1987,1,1,3.35,
Alabama,1,1987,1,2,3.35,
Alabama,1,1987,1,3,3.35,
Alabama,1,1987,2,4,3.35,
Alabama,1,1987,2,5,3.35,
Alabama,1,1987,2,6,3.35,
Alabama,1,1987,3,7,3.35,
Alabama,1,1987,3,8,3.35,
Alabama,1,1987,3,9,3.35,
Alabama,1,1987,4,10,3.35,
Alabama,1,1987,4,11,3.35,
Alabama,1,1987,4,12,3.35,
Alabama,1,1988,1,1,3.35,
Alabama,1,1988,1,2,3.35,
Alabama,1,1988,1,3,3.35,
Alabama,1,1988,2,4,3.35,
Alabama,1,1988,2,5,3.35,
Alabama,1,1988,2,6,3.35,
Alabama,1,1988,3,7,3.35,
Alabama,1,1988,3,8,3.35,
Alabama,1,1988,3,9,3.35,
Alabama,1,1988,4,10,3.35,
Alabama,1,1988,4,11,3.35,
Alabama,1,1988,4,12,3.35,
Alabama,1,1989,1,1,3.35,
Alabama,1,1989,1,2,3.35,
Alabama,1,1989,1,3,3.35,
Alabama,1,1989,2,4,3.35,
Alabama,1,1989,2,5,3.35,
Alabama,1,1989,2,6,3.35,
Alabama,1,1989,3,7,3.35,
Alabama,1,1989,3,8,3.35,
Alabama,1,1989,3,9,3.35,
Alabama,1,1989,4,10,3.35,
Alabama,1,1989,4,11,3.35,
Alabama,1,1989,4,12,3.35,
Alabama,1,1990,1,1,3.35,
Alabama,1,1990,1,2,3.35,
Alabama,1,1990,1,3,3.35,
Alabama,1,1990,2,4,3.8,
Alabama,1,1990,2,5,3.8,
Alabama,1,1990,2,6,3.8,
Alabama,1,1990,3,7,3.8,
Alabama,1,1990,3,8,3.8,
Alabama,1,1990,3,9,3.8,
Alabama,1,1990,4,10,3.8,
Alabama,1,1990,4,11,3.8,
Alabama,1,1990,4,12,3.8,
Alabama,1,1991,1,1,3.8,
Alabama,1,1991,1,2,3.8,
Alabama,1,1991,1,3,3.8,
Alabama,1,1991,2,4,4.25,
Alabama,1,1991,2,5,4.25,
Alabama,1,1991,2,6,4.25,
Alabama,1,1991,3,7,4.25,
Alabama,1,1991,3,8,4.25,
Alabama,1,1991,3,9,4.25,
Alabama,1,1991,4,10,4.25,
Alabama,1,1991,4,11,4.25,
Alabama,1,1991,4,12,4.25,
Alabama,1,1992,1,1,4.25,
Alabama,1,1992,1,2,4.25,
Alabama,1,1992,1,3,4.25,
Alabama,1,1992,2,4,4.25,
Alabama,1,1992,2,5,4.25,
Alabama,1,1992,2,6,4.25,
Alabama,1,1992,3,7,4.25,
Alabama,1,1992,3,8,4.25,
Alabama,1,1992,3,9,4.25,
Alabama,1,1992,4,10,4.25,
Alabama,1,1992,4,11,4.25,
Alabama,1,1992,4,12,4.25,
Alabama,1,1993,1,1,4.25,
Alabama,1,1993,1,2,4.25,
Alabama,1,1993,1,3,4.25,
Alabama,1,1993,2,4,4.25,
Alabama,1,1993,2,5,4.25,
Alabama,1,1993,2,6,4.25,
Alabama,1,1993,3,7,4.25,
Alabama,1,1993,3,8,4.25,
Alabama,1,1993,3,9,4.25,
Alabama,1,1993,4,10,4.25,
Alabama,1,1993,4,11,4.25,
Alabama,1,1993,4,12,4.25,
Alabama,1,1994,1,1,4.25,
Alabama,1,1994,1,2,4.25,
Alabama,1,1994,1,3,4.25,
Alabama,1,1994,2,4,4.25,
Alabama,1,1994,2,5,4.25,
Alabama,1,1994,2,6,4.25,
Alabama,1,1994,3,7,4.25,
Alabama,1,1994,3,8,4.25,
Alabama,1,1994,3,9,4.25,
Alabama,1,1994,4,10,4.25,
